"date","polling_firm","party","supp"
2023-03-06,"Forsa","BSW",NA
2023-03-04,"Ipsos","SPD",20
2023-03-04,"Ipsos","Union",27
2023-03-04,"Ipsos","Green",18
2023-03-04,"Ipsos","FDP",7
2023-03-04,"Ipsos","AfD",15
2023-03-04,"Ipsos","Linke",5
2023-03-04,"Ipsos","FW",NA
2023-03-04,"Ipsos","BSW",NA
2023-03-03,"INSA","SPD",20
2023-03-03,"INSA","Union",30
2023-03-03,"INSA","Green",16
2023-03-03,"INSA","FDP",7
2023-03-03,"INSA","AfD",15
2023-03-03,"INSA","Linke",5
2023-03-03,"INSA","FW",NA
2023-03-03,"INSA","BSW",NA
2023-03-02,"Forschungsgruppe Wahlen","SPD",21
2023-03-02,"Forschungsgruppe Wahlen","Union",29
2023-03-02,"Forschungsgruppe Wahlen","Green",18
2023-03-02,"Forschungsgruppe Wahlen","FDP",5
2023-03-02,"Forschungsgruppe Wahlen","AfD",15
2023-03-02,"Forschungsgruppe Wahlen","Linke",5
2023-03-02,"Forschungsgruppe Wahlen","FW",NA
2023-03-02,"Forschungsgruppe Wahlen","BSW",NA
2023-03-01,"Infratest dimap","SPD",18
2023-03-01,"Infratest dimap","Union",31
2023-03-01,"Infratest dimap","Green",17
2023-03-01,"Infratest dimap","FDP",6
2023-03-01,"Infratest dimap","AfD",14
2023-03-01,"Infratest dimap","Linke",5
2023-03-01,"Infratest dimap","FW",NA
2023-03-01,"Infratest dimap","BSW",NA
2023-03-01,"Wahlkreisprognose","SPD",23.5
2023-03-01,"Wahlkreisprognose","Union",32
2023-03-01,"Wahlkreisprognose","Green",15.5
2023-03-01,"Wahlkreisprognose","FDP",5
2023-03-01,"Wahlkreisprognose","AfD",14
2023-03-01,"Wahlkreisprognose","Linke",3
2023-03-01,"Wahlkreisprognose","FW",NA
2023-03-01,"Wahlkreisprognose","BSW",NA
2023-02-28,"Kantar","SPD",20
2023-02-28,"Kantar","Union",28
2023-02-28,"Kantar","Green",18
2023-02-28,"Kantar","FDP",6
2023-02-28,"Kantar","AfD",14
2023-02-28,"Kantar","Linke",6
2023-02-28,"Kantar","FW",NA
2023-02-28,"Kantar","BSW",NA
2023-02-27,"INSA","SPD",20.5
2023-02-27,"INSA","Union",29.5
2023-02-27,"INSA","Green",15.5
2023-02-27,"INSA","FDP",7.5
2023-02-27,"INSA","AfD",15.5
2023-02-27,"INSA","Linke",4.5
2023-02-27,"INSA","FW",NA
2023-02-27,"INSA","BSW",NA
2023-02-27,"Forsa","SPD",20
2023-02-27,"Forsa","Union",31
2023-02-27,"Forsa","Green",17
2023-02-27,"Forsa","FDP",5
2023-02-27,"Forsa","AfD",13
2023-02-27,"Forsa","Linke",5
2023-02-27,"Forsa","FW",NA
2023-02-27,"Forsa","BSW",NA
2023-02-24,"INSA","SPD",21
2023-02-24,"INSA","Union",29
2023-02-24,"INSA","Green",16
2023-02-24,"INSA","FDP",7
2023-02-24,"INSA","AfD",15
2023-02-24,"INSA","Linke",5
2023-02-24,"INSA","FW",NA
2023-02-24,"INSA","BSW",NA
2023-02-21,"Kantar","SPD",21
2023-02-21,"Kantar","Union",29
2023-02-21,"Kantar","Green",17
2023-02-21,"Kantar","FDP",6
2023-02-21,"Kantar","AfD",15
2023-02-21,"Kantar","Linke",5
2023-02-21,"Kantar","FW",NA
2023-02-21,"Kantar","BSW",NA
2023-02-20,"INSA","SPD",21.5
2023-02-20,"INSA","Union",29
2023-02-20,"INSA","Green",15.5
2023-02-20,"INSA","FDP",7
2023-02-20,"INSA","AfD",15.5
2023-02-20,"INSA","Linke",5
2023-02-20,"INSA","FW",NA
2023-02-20,"INSA","BSW",NA
2023-02-20,"GMS","SPD",19
2023-02-20,"GMS","Union",29
2023-02-20,"GMS","Green",17
2023-02-20,"GMS","FDP",7
2023-02-20,"GMS","AfD",15
2023-02-20,"GMS","Linke",5
2023-02-20,"GMS","FW",NA
2023-02-20,"GMS","BSW",NA
2023-02-20,"Forsa","SPD",19
2023-02-20,"Forsa","Union",31
2023-02-20,"Forsa","Green",17
2023-02-20,"Forsa","FDP",6
2023-02-20,"Forsa","AfD",13
2023-02-20,"Forsa","Linke",5
2023-02-20,"Forsa","FW",NA
2023-02-20,"Forsa","BSW",NA
2023-02-17,"INSA","SPD",21
2023-02-17,"INSA","Union",29
2023-02-17,"INSA","Green",16
2023-02-17,"INSA","FDP",7
2023-02-17,"INSA","AfD",16
2023-02-17,"INSA","Linke",5
2023-02-17,"INSA","FW",NA
2023-02-17,"INSA","BSW",NA
2023-02-16,"Forschungsgruppe Wahlen","SPD",20
2023-02-16,"Forschungsgruppe Wahlen","Union",30
2023-02-16,"Forschungsgruppe Wahlen","Green",19
2023-02-16,"Forschungsgruppe Wahlen","FDP",5
2023-02-16,"Forschungsgruppe Wahlen","AfD",14
2023-02-16,"Forschungsgruppe Wahlen","Linke",5
2023-02-16,"Forschungsgruppe Wahlen","FW",NA
2023-02-16,"Forschungsgruppe Wahlen","BSW",NA
2023-02-15,"Infratest dimap","SPD",19
2023-02-15,"Infratest dimap","Union",29
2023-02-15,"Infratest dimap","Green",17
2023-02-15,"Infratest dimap","FDP",6
2023-02-15,"Infratest dimap","AfD",15
2023-02-15,"Infratest dimap","Linke",5
2023-02-15,"Infratest dimap","FW",NA
2023-02-15,"Infratest dimap","BSW",NA
2023-02-14,"Kantar","SPD",21
2023-02-14,"Kantar","Union",26
2023-02-14,"Kantar","Green",18
2023-02-14,"Kantar","FDP",7
2023-02-14,"Kantar","AfD",15
2023-02-14,"Kantar","Linke",5
2023-02-14,"Kantar","FW",NA
2023-02-14,"Kantar","BSW",NA
2023-02-13,"INSA","SPD",20
2023-02-13,"INSA","Union",28
2023-02-13,"INSA","Green",16
2023-02-13,"INSA","FDP",7.5
2023-02-13,"INSA","AfD",16
2023-02-13,"INSA","Linke",5
2023-02-13,"INSA","FW",NA
2023-02-13,"INSA","BSW",NA
2023-02-13,"Forsa","SPD",21
2023-02-13,"Forsa","Union",28
2023-02-13,"Forsa","Green",18
2023-02-13,"Forsa","FDP",6
2023-02-13,"Forsa","AfD",13
2023-02-13,"Forsa","Linke",5
2023-02-13,"Forsa","FW",NA
2023-02-13,"Forsa","BSW",NA
2023-02-10,"INSA","SPD",20
2023-02-10,"INSA","Union",28
2023-02-10,"INSA","Green",16
2023-02-10,"INSA","FDP",8
2023-02-10,"INSA","AfD",16
2023-02-10,"INSA","Linke",5
2023-02-10,"INSA","FW",NA
2023-02-10,"INSA","BSW",NA
2023-02-09,"YouGov","SPD",19
2023-02-09,"YouGov","Union",27
2023-02-09,"YouGov","Green",16
2023-02-09,"YouGov","FDP",6
2023-02-09,"YouGov","AfD",17
2023-02-09,"YouGov","Linke",6
2023-02-09,"YouGov","FW",2
2023-02-09,"YouGov","BSW",NA
2023-02-09,"Allensbach","SPD",22.5
2023-02-09,"Allensbach","Union",30
2023-02-09,"Allensbach","Green",16
2023-02-09,"Allensbach","FDP",7.5
2023-02-09,"Allensbach","AfD",14
2023-02-09,"Allensbach","Linke",4
2023-02-09,"Allensbach","FW",NA
2023-02-09,"Allensbach","BSW",NA
2023-02-07,"Kantar","SPD",21
2023-02-07,"Kantar","Union",25
2023-02-07,"Kantar","Green",19
2023-02-07,"Kantar","FDP",7
2023-02-07,"Kantar","AfD",15
2023-02-07,"Kantar","Linke",5
2023-02-07,"Kantar","FW",NA
2023-02-07,"Kantar","BSW",NA
2023-02-06,"INSA","SPD",21
2023-02-06,"INSA","Union",27
2023-02-06,"INSA","Green",16
2023-02-06,"INSA","FDP",8
2023-02-06,"INSA","AfD",15.5
2023-02-06,"INSA","Linke",5
2023-02-06,"INSA","FW",NA
2023-02-06,"INSA","BSW",NA
2023-02-06,"Forsa","SPD",21
2023-02-06,"Forsa","Union",28
2023-02-06,"Forsa","Green",18
2023-02-06,"Forsa","FDP",7
2023-02-06,"Forsa","AfD",13
2023-02-06,"Forsa","Linke",5
2023-02-06,"Forsa","FW",NA
2023-02-06,"Forsa","BSW",NA
2023-02-03,"Ipsos","SPD",20
2023-02-03,"Ipsos","Union",26
2023-02-03,"Ipsos","Green",17
2023-02-03,"Ipsos","FDP",8
2023-02-03,"Ipsos","AfD",16
2023-02-03,"Ipsos","Linke",5
2023-02-03,"Ipsos","FW",NA
2023-02-03,"Ipsos","BSW",NA
2023-02-03,"INSA","SPD",21
2023-02-03,"INSA","Union",28
2023-02-03,"INSA","Green",16
2023-02-03,"INSA","FDP",8
2023-02-03,"INSA","AfD",15
2023-02-03,"INSA","Linke",5
2023-02-03,"INSA","FW",NA
2023-02-03,"INSA","BSW",NA
2023-02-01,"Infratest dimap","SPD",20
2023-02-01,"Infratest dimap","Union",27
2023-02-01,"Infratest dimap","Green",18
2023-02-01,"Infratest dimap","FDP",7
2023-02-01,"Infratest dimap","AfD",15
2023-02-01,"Infratest dimap","Linke",4
2023-02-01,"Infratest dimap","FW",NA
2023-02-01,"Infratest dimap","BSW",NA
2023-01-31,"Kantar","SPD",21
2023-01-31,"Kantar","Union",25
2023-01-31,"Kantar","Green",19
2023-01-31,"Kantar","FDP",7
2023-01-31,"Kantar","AfD",15
2023-01-31,"Kantar","Linke",5
2023-01-31,"Kantar","FW",NA
2023-01-31,"Kantar","BSW",NA
2023-01-30,"INSA","SPD",20.5
2023-01-30,"INSA","Union",28.5
2023-01-30,"INSA","Green",16
2023-01-30,"INSA","FDP",7.5
2023-01-30,"INSA","AfD",15
2023-01-30,"INSA","Linke",5
2023-01-30,"INSA","FW",NA
2023-01-30,"INSA","BSW",NA
2023-01-30,"Forsa","SPD",20
2023-01-30,"Forsa","Union",27
2023-01-30,"Forsa","Green",19
2023-01-30,"Forsa","FDP",7
2023-01-30,"Forsa","AfD",13
2023-01-30,"Forsa","Linke",5
2023-01-30,"Forsa","FW",NA
2023-01-30,"Forsa","BSW",NA
2023-01-27,"Wahlkreisprognose","SPD",24
2023-01-27,"Wahlkreisprognose","Union",24
2023-01-27,"Wahlkreisprognose","Green",18
2023-01-27,"Wahlkreisprognose","FDP",6.5
2023-01-27,"Wahlkreisprognose","AfD",14.5
2023-01-27,"Wahlkreisprognose","Linke",3.5
2023-01-27,"Wahlkreisprognose","FW",NA
2023-01-27,"Wahlkreisprognose","BSW",NA
2023-01-27,"INSA","SPD",20
2023-01-27,"INSA","Union",29
2023-01-27,"INSA","Green",16
2023-01-27,"INSA","FDP",7
2023-01-27,"INSA","AfD",15
2023-01-27,"INSA","Linke",5
2023-01-27,"INSA","FW",NA
2023-01-27,"INSA","BSW",NA
2023-01-26,"Forschungsgruppe Wahlen","SPD",21
2023-01-26,"Forschungsgruppe Wahlen","Union",27
2023-01-26,"Forschungsgruppe Wahlen","Green",19
2023-01-26,"Forschungsgruppe Wahlen","FDP",6
2023-01-26,"Forschungsgruppe Wahlen","AfD",15
2023-01-26,"Forschungsgruppe Wahlen","Linke",6
2023-01-26,"Forschungsgruppe Wahlen","FW",NA
2023-01-26,"Forschungsgruppe Wahlen","BSW",NA
2023-01-24,"Kantar","SPD",21
2023-01-24,"Kantar","Union",27
2023-01-24,"Kantar","Green",19
2023-01-24,"Kantar","FDP",7
2023-01-24,"Kantar","AfD",14
2023-01-24,"Kantar","Linke",5
2023-01-24,"Kantar","FW",NA
2023-01-24,"Kantar","BSW",NA
2023-01-23,"INSA","SPD",20.5
2023-01-23,"INSA","Union",28
2023-01-23,"INSA","Green",16.5
2023-01-23,"INSA","FDP",7.5
2023-01-23,"INSA","AfD",15
2023-01-23,"INSA","Linke",4.5
2023-01-23,"INSA","FW",NA
2023-01-23,"INSA","BSW",NA
2023-01-23,"Forsa","SPD",19
2023-01-23,"Forsa","Union",28
2023-01-23,"Forsa","Green",20
2023-01-23,"Forsa","FDP",7
2023-01-23,"Forsa","AfD",12
2023-01-23,"Forsa","Linke",5
2023-01-23,"Forsa","FW",NA
2023-01-23,"Forsa","BSW",NA
2023-01-21,"INSA","SPD",20
2023-01-21,"INSA","Union",28
2023-01-21,"INSA","Green",16
2023-01-21,"INSA","FDP",7
2023-01-21,"INSA","AfD",15
2023-01-21,"INSA","Linke",5
2023-01-21,"INSA","FW",NA
2023-01-21,"INSA","BSW",NA
2023-01-18,"Infratest dimap","SPD",19
2023-01-18,"Infratest dimap","Union",29
2023-01-18,"Infratest dimap","Green",19
2023-01-18,"Infratest dimap","FDP",6
2023-01-18,"Infratest dimap","AfD",14
2023-01-18,"Infratest dimap","Linke",4
2023-01-18,"Infratest dimap","FW",NA
2023-01-18,"Infratest dimap","BSW",NA
2023-01-18,"Allensbach","SPD",21
2023-01-18,"Allensbach","Union",31
2023-01-18,"Allensbach","Green",17
2023-01-18,"Allensbach","FDP",6
2023-01-18,"Allensbach","AfD",14
2023-01-18,"Allensbach","Linke",4.5
2023-01-18,"Allensbach","FW",NA
2023-01-18,"Allensbach","BSW",NA
2023-01-17,"Kantar","SPD",20
2023-01-17,"Kantar","Union",27
2023-01-17,"Kantar","Green",20
2023-01-17,"Kantar","FDP",6
2023-01-17,"Kantar","AfD",14
2023-01-17,"Kantar","Linke",5
2023-01-17,"Kantar","FW",NA
2023-01-17,"Kantar","BSW",NA
2023-01-16,"Wahlkreisprognose","SPD",21.5
2023-01-16,"Wahlkreisprognose","Union",24.5
2023-01-16,"Wahlkreisprognose","Green",17
2023-01-16,"Wahlkreisprognose","FDP",8
2023-01-16,"Wahlkreisprognose","AfD",16.5
2023-01-16,"Wahlkreisprognose","Linke",3.5
2023-01-16,"Wahlkreisprognose","FW",NA
2023-01-16,"Wahlkreisprognose","BSW",NA
2023-01-16,"INSA","SPD",21
2023-01-16,"INSA","Union",28
2023-01-16,"INSA","Green",16.5
2023-01-16,"INSA","FDP",7.5
2023-01-16,"INSA","AfD",15
2023-01-16,"INSA","Linke",5
2023-01-16,"INSA","FW",NA
2023-01-16,"INSA","BSW",NA
2023-01-16,"Forsa","SPD",18
2023-01-16,"Forsa","Union",28
2023-01-16,"Forsa","Green",20
2023-01-16,"Forsa","FDP",7
2023-01-16,"Forsa","AfD",13
2023-01-16,"Forsa","Linke",5
2023-01-16,"Forsa","FW",NA
2023-01-16,"Forsa","BSW",NA
2023-01-13,"INSA","SPD",20
2023-01-13,"INSA","Union",27
2023-01-13,"INSA","Green",17
2023-01-13,"INSA","FDP",8
2023-01-13,"INSA","AfD",15
2023-01-13,"INSA","Linke",5
2023-01-13,"INSA","FW",NA
2023-01-13,"INSA","BSW",NA
2023-01-12,"Forschungsgruppe Wahlen","SPD",20
2023-01-12,"Forschungsgruppe Wahlen","Union",27
2023-01-12,"Forschungsgruppe Wahlen","Green",21
2023-01-12,"Forschungsgruppe Wahlen","FDP",6
2023-01-12,"Forschungsgruppe Wahlen","AfD",14
2023-01-12,"Forschungsgruppe Wahlen","Linke",6
2023-01-12,"Forschungsgruppe Wahlen","FW",NA
2023-01-12,"Forschungsgruppe Wahlen","BSW",NA
2023-01-12,"Civey","SPD",18
2023-01-12,"Civey","Union",28
2023-01-12,"Civey","Green",20
2023-01-12,"Civey","FDP",7
2023-01-12,"Civey","AfD",14
2023-01-12,"Civey","Linke",5
2023-01-12,"Civey","FW",NA
2023-01-12,"Civey","BSW",NA
2023-01-10,"Ipsos","SPD",19
2023-01-10,"Ipsos","Union",27
2023-01-10,"Ipsos","Green",18
2023-01-10,"Ipsos","FDP",7
2023-01-10,"Ipsos","AfD",15
2023-01-10,"Ipsos","Linke",6
2023-01-10,"Ipsos","FW",NA
2023-01-10,"Ipsos","BSW",NA
2023-01-10,"YouGov","SPD",18
2023-01-10,"YouGov","Union",27
2023-01-10,"YouGov","Green",17
2023-01-10,"YouGov","FDP",8
2023-01-10,"YouGov","AfD",16
2023-01-10,"YouGov","Linke",6
2023-01-10,"YouGov","FW",1
2023-01-10,"YouGov","BSW",NA
2023-01-10,"Kantar","SPD",19
2023-01-10,"Kantar","Union",28
2023-01-10,"Kantar","Green",18
2023-01-10,"Kantar","FDP",7
2023-01-10,"Kantar","AfD",14
2023-01-10,"Kantar","Linke",4
2023-01-10,"Kantar","FW",NA
2023-01-10,"Kantar","BSW",NA
2023-01-09,"INSA","SPD",20
2023-01-09,"INSA","Union",27
2023-01-09,"INSA","Green",17.5
2023-01-09,"INSA","FDP",7.5
2023-01-09,"INSA","AfD",15
2023-01-09,"INSA","Linke",5
2023-01-09,"INSA","FW",NA
2023-01-09,"INSA","BSW",NA
2023-01-09,"Forsa","SPD",18
2023-01-09,"Forsa","Union",29
2023-01-09,"Forsa","Green",20
2023-01-09,"Forsa","FDP",7
2023-01-09,"Forsa","AfD",13
2023-01-09,"Forsa","Linke",5
2023-01-09,"Forsa","FW",NA
2023-01-09,"Forsa","BSW",NA
2023-01-06,"INSA","SPD",20
2023-01-06,"INSA","Union",27
2023-01-06,"INSA","Green",18
2023-01-06,"INSA","FDP",7
2023-01-06,"INSA","AfD",15
2023-01-06,"INSA","Linke",5
2023-01-06,"INSA","FW",NA
2023-01-06,"INSA","BSW",NA
2023-01-04,"Infratest dimap","SPD",18
2023-01-04,"Infratest dimap","Union",29
2023-01-04,"Infratest dimap","Green",19
2023-01-04,"Infratest dimap","FDP",6
2023-01-04,"Infratest dimap","AfD",15
2023-01-04,"Infratest dimap","Linke",5
2023-01-04,"Infratest dimap","FW",NA
2023-01-04,"Infratest dimap","BSW",NA
2023-01-03,"GMS","SPD",19
2023-01-03,"GMS","Union",29
2023-01-03,"GMS","Green",17
2023-01-03,"GMS","FDP",7
2023-01-03,"GMS","AfD",14
2023-01-03,"GMS","Linke",5
2023-01-03,"GMS","FW",NA
2023-01-03,"GMS","BSW",NA
2023-01-02,"INSA","SPD",20
2023-01-02,"INSA","Union",27
2023-01-02,"INSA","Green",17.5
2023-01-02,"INSA","FDP",7.5
2023-01-02,"INSA","AfD",15
2023-01-02,"INSA","Linke",4.5
2023-01-02,"INSA","FW",NA
2023-01-02,"INSA","BSW",NA
2022-12-29,"INSA","SPD",20
2022-12-29,"INSA","Union",26
2022-12-29,"INSA","Green",18
2022-12-29,"INSA","FDP",7
2022-12-29,"INSA","AfD",15
2022-12-29,"INSA","Linke",5
2022-12-29,"INSA","FW",NA
2022-12-29,"INSA","BSW",NA
2022-12-22,"INSA","SPD",21
2022-12-22,"INSA","Union",27
2022-12-22,"INSA","Green",17
2022-12-22,"INSA","FDP",8
2022-12-22,"INSA","AfD",14
2022-12-22,"INSA","Linke",5
2022-12-22,"INSA","FW",NA
2022-12-22,"INSA","BSW",NA
2022-12-21,"YouGov","SPD",19
2022-12-21,"YouGov","Union",30
2022-12-21,"YouGov","Green",17
2022-12-21,"YouGov","FDP",7
2022-12-21,"YouGov","AfD",14
2022-12-21,"YouGov","Linke",5
2022-12-21,"YouGov","FW",1
2022-12-21,"YouGov","BSW",NA
2022-12-19,"INSA","SPD",21
2022-12-19,"INSA","Union",27.5
2022-12-19,"INSA","Green",17.5
2022-12-19,"INSA","FDP",7.5
2022-12-19,"INSA","AfD",14.5
2022-12-19,"INSA","Linke",4.5
2022-12-19,"INSA","FW",NA
2022-12-19,"INSA","BSW",NA
2022-12-19,"Forsa","SPD",19
2022-12-19,"Forsa","Union",28
2022-12-19,"Forsa","Green",19
2022-12-19,"Forsa","FDP",7
2022-12-19,"Forsa","AfD",13
2022-12-19,"Forsa","Linke",5
2022-12-19,"Forsa","FW",NA
2022-12-19,"Forsa","BSW",NA
2022-12-16,"INSA","SPD",21
2022-12-16,"INSA","Union",27
2022-12-16,"INSA","Green",18
2022-12-16,"INSA","FDP",7
2022-12-16,"INSA","AfD",15
2022-12-16,"INSA","Linke",5
2022-12-16,"INSA","FW",NA
2022-12-16,"INSA","BSW",NA
2022-12-15,"Kantar","SPD",19
2022-12-15,"Kantar","Union",29
2022-12-15,"Kantar","Green",18
2022-12-15,"Kantar","FDP",7
2022-12-15,"Kantar","AfD",14
2022-12-15,"Kantar","Linke",5
2022-12-15,"Kantar","FW",NA
2022-12-15,"Kantar","BSW",NA
2022-12-15,"Forschungsgruppe Wahlen","SPD",20
2022-12-15,"Forschungsgruppe Wahlen","Union",28
2022-12-15,"Forschungsgruppe Wahlen","Green",20
2022-12-15,"Forschungsgruppe Wahlen","FDP",6
2022-12-15,"Forschungsgruppe Wahlen","AfD",15
2022-12-15,"Forschungsgruppe Wahlen","Linke",5
2022-12-15,"Forschungsgruppe Wahlen","FW",NA
2022-12-15,"Forschungsgruppe Wahlen","BSW",NA
2022-12-15,"Allensbach","SPD",22
2022-12-15,"Allensbach","Union",30
2022-12-15,"Allensbach","Green",18
2022-12-15,"Allensbach","FDP",7.5
2022-12-15,"Allensbach","AfD",12
2022-12-15,"Allensbach","Linke",4.5
2022-12-15,"Allensbach","FW",NA
2022-12-15,"Allensbach","BSW",NA
2022-12-12,"INSA","SPD",20
2022-12-12,"INSA","Union",28.5
2022-12-12,"INSA","Green",18
2022-12-12,"INSA","FDP",7
2022-12-12,"INSA","AfD",15.5
2022-12-12,"INSA","Linke",4.5
2022-12-12,"INSA","FW",NA
2022-12-12,"INSA","BSW",NA
2022-12-12,"Kantar","SPD",18
2022-12-12,"Kantar","Union",28
2022-12-12,"Kantar","Green",19
2022-12-12,"Kantar","FDP",7
2022-12-12,"Kantar","AfD",14
2022-12-12,"Kantar","Linke",5
2022-12-12,"Kantar","FW",NA
2022-12-12,"Kantar","BSW",NA
2022-12-12,"Forsa","SPD",19
2022-12-12,"Forsa","Union",29
2022-12-12,"Forsa","Green",19
2022-12-12,"Forsa","FDP",7
2022-12-12,"Forsa","AfD",12
2022-12-12,"Forsa","Linke",5
2022-12-12,"Forsa","FW",NA
2022-12-12,"Forsa","BSW",NA
2022-12-09,"Wahlkreisprognose","SPD",22.5
2022-12-09,"Wahlkreisprognose","Union",25
2022-12-09,"Wahlkreisprognose","Green",16.5
2022-12-09,"Wahlkreisprognose","FDP",7
2022-12-09,"Wahlkreisprognose","AfD",14.5
2022-12-09,"Wahlkreisprognose","Linke",4
2022-12-09,"Wahlkreisprognose","FW",NA
2022-12-09,"Wahlkreisprognose","BSW",NA
2022-12-09,"INSA","SPD",20
2022-12-09,"INSA","Union",28
2022-12-09,"INSA","Green",18
2022-12-09,"INSA","FDP",7
2022-12-09,"INSA","AfD",15
2022-12-09,"INSA","Linke",4
2022-12-09,"INSA","FW",NA
2022-12-09,"INSA","BSW",NA
2022-12-07,"Infratest dimap","SPD",18
2022-12-07,"Infratest dimap","Union",29
2022-12-07,"Infratest dimap","Green",18
2022-12-07,"Infratest dimap","FDP",6
2022-12-07,"Infratest dimap","AfD",15
2022-12-07,"Infratest dimap","Linke",5
2022-12-07,"Infratest dimap","FW",NA
2022-12-07,"Infratest dimap","BSW",NA
2022-12-06,"Kantar","SPD",19
2022-12-06,"Kantar","Union",27
2022-12-06,"Kantar","Green",19
2022-12-06,"Kantar","FDP",6
2022-12-06,"Kantar","AfD",15
2022-12-06,"Kantar","Linke",5
2022-12-06,"Kantar","FW",NA
2022-12-06,"Kantar","BSW",NA
2022-12-05,"INSA","SPD",20.5
2022-12-05,"INSA","Union",28
2022-12-05,"INSA","Green",17
2022-12-05,"INSA","FDP",7
2022-12-05,"INSA","AfD",14.5
2022-12-05,"INSA","Linke",5
2022-12-05,"INSA","FW",NA
2022-12-05,"INSA","BSW",NA
2022-12-05,"Forsa","SPD",19
2022-12-05,"Forsa","Union",29
2022-12-05,"Forsa","Green",19
2022-12-05,"Forsa","FDP",7
2022-12-05,"Forsa","AfD",12
2022-12-05,"Forsa","Linke",5
2022-12-05,"Forsa","FW",NA
2022-12-05,"Forsa","BSW",NA
2022-12-03,"Ipsos","SPD",19
2022-12-03,"Ipsos","Union",27
2022-12-03,"Ipsos","Green",19
2022-12-03,"Ipsos","FDP",7
2022-12-03,"Ipsos","AfD",14
2022-12-03,"Ipsos","Linke",6
2022-12-03,"Ipsos","FW",NA
2022-12-03,"Ipsos","BSW",NA
2022-12-02,"INSA","SPD",20
2022-12-02,"INSA","Union",28
2022-12-02,"INSA","Green",17
2022-12-02,"INSA","FDP",7
2022-12-02,"INSA","AfD",15
2022-12-02,"INSA","Linke",5
2022-12-02,"INSA","FW",NA
2022-12-02,"INSA","BSW",NA
2022-12-02,"Civey","SPD",19
2022-12-02,"Civey","Union",28
2022-12-02,"Civey","Green",21
2022-12-02,"Civey","FDP",7
2022-12-02,"Civey","AfD",13
2022-12-02,"Civey","Linke",4
2022-12-02,"Civey","FW",NA
2022-12-02,"Civey","BSW",NA
2022-12-01,"GMS","SPD",18
2022-12-01,"GMS","Union",28
2022-12-01,"GMS","Green",21
2022-12-01,"GMS","FDP",7
2022-12-01,"GMS","AfD",12
2022-12-01,"GMS","Linke",4
2022-12-01,"GMS","FW",NA
2022-12-01,"GMS","BSW",NA
2022-11-30,"Infratest dimap","SPD",18
2022-11-30,"Infratest dimap","Union",30
2022-11-30,"Infratest dimap","Green",18
2022-11-30,"Infratest dimap","FDP",5
2022-11-30,"Infratest dimap","AfD",15
2022-11-30,"Infratest dimap","Linke",5
2022-11-30,"Infratest dimap","FW",NA
2022-11-30,"Infratest dimap","BSW",NA
2022-11-29,"Kantar","SPD",18
2022-11-29,"Kantar","Union",27
2022-11-29,"Kantar","Green",20
2022-11-29,"Kantar","FDP",7
2022-11-29,"Kantar","AfD",14
2022-11-29,"Kantar","Linke",5
2022-11-29,"Kantar","FW",NA
2022-11-29,"Kantar","BSW",NA
2022-11-28,"INSA","SPD",21
2022-11-28,"INSA","Union",27
2022-11-28,"INSA","Green",17.5
2022-11-28,"INSA","FDP",7
2022-11-28,"INSA","AfD",15
2022-11-28,"INSA","Linke",5
2022-11-28,"INSA","FW",NA
2022-11-28,"INSA","BSW",NA
2022-11-28,"Forsa","SPD",19
2022-11-28,"Forsa","Union",29
2022-11-28,"Forsa","Green",20
2022-11-28,"Forsa","FDP",6
2022-11-28,"Forsa","AfD",12
2022-11-28,"Forsa","Linke",5
2022-11-28,"Forsa","FW",NA
2022-11-28,"Forsa","BSW",NA
2022-11-25,"INSA","SPD",21
2022-11-25,"INSA","Union",27
2022-11-25,"INSA","Green",18
2022-11-25,"INSA","FDP",7
2022-11-25,"INSA","AfD",15
2022-11-25,"INSA","Linke",5
2022-11-25,"INSA","FW",NA
2022-11-25,"INSA","BSW",NA
2022-11-24,"Forschungsgruppe Wahlen","SPD",19
2022-11-24,"Forschungsgruppe Wahlen","Union",28
2022-11-24,"Forschungsgruppe Wahlen","Green",22
2022-11-24,"Forschungsgruppe Wahlen","FDP",5
2022-11-24,"Forschungsgruppe Wahlen","AfD",14
2022-11-24,"Forschungsgruppe Wahlen","Linke",6
2022-11-24,"Forschungsgruppe Wahlen","FW",NA
2022-11-24,"Forschungsgruppe Wahlen","BSW",NA
2022-11-22,"Kantar","SPD",19
2022-11-22,"Kantar","Union",29
2022-11-22,"Kantar","Green",19
2022-11-22,"Kantar","FDP",7
2022-11-22,"Kantar","AfD",13
2022-11-22,"Kantar","Linke",4
2022-11-22,"Kantar","FW",NA
2022-11-22,"Kantar","BSW",NA
2022-11-21,"INSA","SPD",20
2022-11-21,"INSA","Union",28
2022-11-21,"INSA","Green",17
2022-11-21,"INSA","FDP",7.5
2022-11-21,"INSA","AfD",15
2022-11-21,"INSA","Linke",5
2022-11-21,"INSA","FW",NA
2022-11-21,"INSA","BSW",NA
2022-11-21,"Forsa","SPD",19
2022-11-21,"Forsa","Union",28
2022-11-21,"Forsa","Green",20
2022-11-21,"Forsa","FDP",6
2022-11-21,"Forsa","AfD",13
2022-11-21,"Forsa","Linke",5
2022-11-21,"Forsa","FW",NA
2022-11-21,"Forsa","BSW",NA
2022-11-18,"INSA","SPD",20
2022-11-18,"INSA","Union",28
2022-11-18,"INSA","Green",17
2022-11-18,"INSA","FDP",7
2022-11-18,"INSA","AfD",15
